ID	DOCULECT	CONCEPT	FORM	TOKENS	MORPHEMES	COGIDS	NOTE	ISO639P3	MACROAREA	FAMILY	SCRIPT
34	Standard Arabic	THIRTY FOUR	أَرْبَعً وَ ثَلاثينَ					arb	Eurasia	Afro-Asiatic	Arabic
35	Standard Arabic	THIRTY FIVE	خَمْسً وَ ثَلاثينَ					arb	Eurasia	Afro-Asiatic	Arabic
36	Standard Arabic	THIRTY SIX	سِتًّ وَ ثَلاثينَ					arb	Eurasia	Afro-Asiatic	Arabic
37	Standard Arabic	THIRTY SEVEN	سَبْعً وَ ثَلاثينَ					arb	Eurasia	Afro-Asiatic	Arabic
38	Standard Arabic	THIRTY EIGHT	ثَمانً وَ ثَلاثينَ					arb	Eurasia	Afro-Asiatic	Arabic
39	Standard Arabic	THIRTY NINE	تِسْعً وَ ثَلاثينَ					arb	Eurasia	Afro-Asiatic	Arabic
40	Standard Arabic	FORTY	أَرْبَعونَ					arb	Eurasia	Afro-Asiatic	Arabic
0	Assamese	ZERO	শূণ্য					asm	Eurasia	Indo-European	Bengali
1	Assamese	ONE	এক					asm	Eurasia	Indo-European	Bengali
2	Assamese	TWO	দুই					asm	Eurasia	Indo-European	Bengali
3	Assamese	THREE	তিনি					asm	Eurasia	Indo-European	Bengali
4	Assamese	FOUR	চাৰি					asm	Eurasia	Indo-European	Bengali
5	Assamese	FIVE	পাঁচ					asm	Eurasia	Indo-European	Bengali
6	Assamese	SIX	ছয়					asm	Eurasia	Indo-European	Bengali
7	Assamese	SEVEN	সাত					asm	Eurasia	Indo-European	Bengali
8	Assamese	EIGHT	আঠ					asm	Eurasia	Indo-European	Bengali
9	Assamese	NINE	ন					asm	Eurasia	Indo-European	Bengali
10	Assamese	TEN	দহ					asm	Eurasia	Indo-European	Bengali
11	Assamese	ELEVEN	এঘাৰ					asm	Eurasia	Indo-European	Bengali
12	Assamese	TWELVE	বাৰ					asm	Eurasia	Indo-European	Bengali
13	Assamese	THIRTEEN	তেৰ					asm	Eurasia	Indo-European	Bengali
14	Assamese	FOURTEEN	চৈধ্য					asm	Eurasia	Indo-European	Bengali
15	Assamese	FIFTEEN	পোন্ধৰ					asm	Eurasia	Indo-European	Bengali
16	Assamese	SIXTEEN	ষোল্ল					asm	Eurasia	Indo-European	Bengali
17	Assamese	SEVENTEEN	সোতৰ					asm	Eurasia	Indo-European	Bengali
18	Assamese	EIGHTEEN	ওঠৰ					asm	Eurasia	Indo-European	Bengali
19	Assamese	NINETEEN	ঊনৈশ					asm	Eurasia	Indo-European	Bengali
20	Assamese	TWENTY	বিশ					asm	Eurasia	Indo-European	Bengali
21	Assamese	TWENTY ONE	একৈশ					asm	Eurasia	Indo-European	Bengali
22	Assamese	TWENTY TWO	বাইশ					asm	Eurasia	Indo-European	Bengali
23	Assamese	TWENTY THREE	তেইশ					asm	Eurasia	Indo-European	Bengali
24	Assamese	TWENTY FOUR	চৌবিশ					asm	Eurasia	Indo-European	Bengali
25	Assamese	TWENTY FIVE	পঁচিশ					asm	Eurasia	Indo-European	Bengali
