ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	MORPHEMES	ALIGNMENT	COGIDS	NOTE	SOURCE
79	hebr1245	forty one	ארבעים ואחת	aʁbaimveaχat	a ʁ b a + i m + v e + a/e χ a t/d	four suff_pl and one	a ʁ b a + i m + v e + a/e χ a t/d	4 13 15 1		Etzion2020ModernHebrew
80	hebr1245	forty two	ארבעים ושניים	aʁbaimuʃnajim	a ʁ b a + i m + u/v -/e + ʃ n a j i m	four suff_pl and two	a ʁ b a + i m + u/v -/e + ʃ n a j i m	4 13 15 2		Etzion2020ModernHebrew
81	hebr1245	forty two	ארבעים ושתיים	aʁbaimuʃtajim	a ʁ b a + i m + u/v -/e + ʃ t/n a j i m	four suff_pl and two	a ʁ b a + i m + u/v -/e + ʃ t/n a j i m	4 13 15 2		Etzion2020ModernHebrew
82	hebr1245	forty three	ארבעים ושלושה	aʁbaimuʃloʃa	a ʁ b a + i m + u/v -/e + ʃ -/a l o ʃ + a/-	four suff_pl and three suff_masc_sg	a ʁ b a + i m + u/v -/e + ʃ -/a l o ʃ + a/-	4 13 15 3 11		Etzion2020ModernHebrew
83	hebr1245	forty three	ארבעים ושלוש	aʁbaimveʃaloʃ	a ʁ b a + i m + v e + ʃ a l o ʃ	four suff_pl and three	a ʁ b a + i m + v e + ʃ a l o ʃ	4 13 15 3		Etzion2020ModernHebrew
84	hebr1245	forty four	ארבעים וארבעה	aʁbaimveaʁbaa	a ʁ b a + i m + v e + a ʁ b a + a/-	four suff_pl and four suff_masc_sg	a ʁ b a + i m + v e + a ʁ b a + a/-	4 13 15 4 11		Etzion2020ModernHebrew
85	hebr1245	forty four	ארבעים וארבע	aʁbaimveaʁba	a ʁ b a + i m + v e + a ʁ b a	four suff_pl and four	a ʁ b a + i m + v e + a ʁ b a	4 13 15 4		Etzion2020ModernHebrew
86	hebr1245	forty five	ארבעים וחמישה	aʁbaimveχamiʃa	a ʁ b a + i m + v e + χ a m i/e ʃ + a/-	four suff_pl and five suff_masc_sg	a ʁ b a + i m + v e + χ a m i/e ʃ + a/-	4 13 15 5 11		Etzion2020ModernHebrew
87	hebr1245	forty five	ארבעים וחמש	aʁbaimveχameʃ	a ʁ b a + i m + v e + χ a m e ʃ	four suff_pl and five	a ʁ b a + i m + v e + χ a m e ʃ	4 13 15 5		Etzion2020ModernHebrew
88	hebr1245	forty six	ארבעים ושישה	aʁbaimveʃiʃa	a ʁ b a + i m + v e + ʃ i/e ʃ + a/-	four suff_pl and six suff_masc_sg	a ʁ b a + i m + v e + ʃ i/e ʃ + a/-	4 13 15 6 11		Etzion2020ModernHebrew
89	hebr1245	forty six	ארבעים ושש	aʁbaimveʃeʃ	a ʁ b a + i m + v e + ʃ e ʃ	four suff_pl and six	a ʁ b a + i m + v e + ʃ e ʃ	4 13 15 6		Etzion2020ModernHebrew
90	hebr1245	forty seven	ארבעים ושבעה	aʁbaimveʃiva	a ʁ b a + i m + v e + ʃ i/e v -/a + a/-	four suff_pl and seven suff_masc_sg	a ʁ b a + i m + v e + ʃ i/e v -/a + a/-	4 13 15 7 11		Etzion2020ModernHebrew
