ID	DOCULECT	CONCEPT	FORM	TOKENS	MORPHEMES	COGIDS	SOURCE	NOTE	ALIGNMENT
66	Mandarin	sixty six	liù shí liù	l j ou̯ ⁵¹ + ʂ ʅ ³⁵ + l j ou̯ ⁵¹	six ten six	6 10 6	Mandarin		l j ou̯ ⁵¹ + ʂ ʅ ³⁵ + l j ou̯ ⁵¹
67	Mandarin	sixty seven	liù shí qī	l j ou̯ ⁵¹ + ʂ ʅ ³⁵ + tɕʰ i ⁵⁵	six ten seven	6 10 7	Mandarin		l j ou̯ ⁵¹ + ʂ ʅ ³⁵ + tɕʰ i ⁵⁵
68	Mandarin	sixty eight	liù shí bā	l j ou̯ ⁵¹ + ʂ ʅ ³⁵ + p a ⁵⁵	six ten eight	6 10 8	Mandarin		l j ou̯ ⁵¹ + ʂ ʅ ³⁵ + p a ⁵⁵
69	Mandarin	sixty nine	liù shí jiǔ	l j ou̯ ⁵¹ + ʂ ʅ ³⁵ + tɕ j ou̯ ²¹³	six ten nine	6 10 9	Mandarin		l j ou̯ ⁵¹ + ʂ ʅ ³⁵ + tɕ j ou̯ ²¹³
70	Mandarin	seventy	qī shí	tɕʰ i ⁵⁵ + ʂ ʅ ³⁵	seven ten	7 10	Mandarin		tɕʰ i ⁵⁵ + ʂ ʅ ³⁵
71	Mandarin	seventy one	qī shí yī	tɕʰ i ⁵⁵ + ʂ ʅ ³⁵ + i ⁵⁵	seven ten one	7 10 1	Mandarin		tɕʰ i ⁵⁵ + ʂ ʅ ³⁵ + i ⁵⁵
72	Mandarin	seventy two	qī shí èr	tɕʰ i ⁵⁵ + ʂ ʅ ³⁵ + ɚ ⁵¹	seven ten two	7 10 2	Mandarin		tɕʰ i ⁵⁵ + ʂ ʅ ³⁵ + ɚ ⁵¹
73	Mandarin	seventy three	qī shí sān	tɕʰ i ⁵⁵ + ʂ ʅ ³⁵ + s a n ⁵⁵	seven ten three	7 10 3	Mandarin		tɕʰ i ⁵⁵ + ʂ ʅ ³⁵ + s a n ⁵⁵
74	Mandarin	seventy four	qī shí sì	tɕʰ i ⁵⁵ + ʂ ʅ ³⁵ + s ɿ ⁵¹	seven ten four	7 10 4	Mandarin		tɕʰ i ⁵⁵ + ʂ ʅ ³⁵ + s ɿ ⁵¹
75	Mandarin	seventy five	qī shí wǔ	tɕʰ i ⁵⁵ + ʂ ʅ ³⁵ + u ²¹³	seven ten five	7 10 5	Mandarin		tɕʰ i ⁵⁵ + ʂ ʅ ³⁵ + u ²¹³
76	Mandarin	seventy six	qī shí liù	tɕʰ i ⁵⁵ + ʂ ʅ ³⁵ + l j ou̯ ⁵¹	seven ten six	7 10 6	Mandarin		tɕʰ i ⁵⁵ + ʂ ʅ ³⁵ + l j ou̯ ⁵¹
77	Mandarin	seventy seven	qī shí qī	tɕʰ i ⁵⁵ + ʂ ʅ ³⁵ + tɕʰ i ⁵⁵	seven ten seven	7 10 7	Mandarin		tɕʰ i ⁵⁵ + ʂ ʅ ³⁵ + tɕʰ i ⁵⁵
78	Mandarin	seventy eight	qī shí bā	tɕʰ i ⁵⁵ + ʂ ʅ ³⁵ + p a ⁵⁵	seven ten eight	7 10 8	Mandarin		tɕʰ i ⁵⁵ + ʂ ʅ ³⁵ + p a ⁵⁵
79	Mandarin	seventy nine	qī shí jiǔ	tɕʰ i ⁵⁵ + ʂ ʅ ³⁵ + tɕ j ou̯ ²¹³	seven ten nine	7 10 9	Mandarin		tɕʰ i ⁵⁵ + ʂ ʅ ³⁵ + tɕ j ou̯ ²¹³
80	Mandarin	eighty	bā shí	p a ⁵⁵ + ʂ ʅ ³⁵	eight ten	8 10	Mandarin		p a ⁵⁵ + ʂ ʅ ³⁵
81	Mandarin	eighty one	bā shí yī	p a ⁵⁵ + ʂ ʅ ³⁵ + i ⁵⁵	eight ten one	8 10 1	Mandarin		p a ⁵⁵ + ʂ ʅ ³⁵ + i ⁵⁵
82	Mandarin	eighty two	bā shí èr	p a ⁵⁵ + ʂ ʅ ³⁵ + ɚ ⁵¹	eight ten two	8 10 2	Mandarin		p a ⁵⁵ + ʂ ʅ ³⁵ + ɚ ⁵¹
83	Mandarin	eighty three	bā shí sān	p a ⁵⁵ + ʂ ʅ ³⁵ + s a n ⁵⁵	eight ten three	8 10 3	Mandarin		p a ⁵⁵ + ʂ ʅ ³⁵ + s a n ⁵⁵
84	Mandarin	eighty four	bā shí sì	p a ⁵⁵ + ʂ ʅ ³⁵ + s ɿ ⁵¹	eight ten four	8 10 4	Mandarin		p a ⁵⁵ + ʂ ʅ ³⁵ + s ɿ ⁵¹
85	Mandarin	eighty five	bā shí wǔ	p a ⁵⁵ + ʂ ʅ ³⁵ + u ²¹³	eight ten five	8 10 5	Mandarin		p a ⁵⁵ + ʂ ʅ ³⁵ + u ²¹³
86	Mandarin	eighty six	bā shí liù	p a ⁵⁵ + ʂ ʅ ³⁵ + l j ou̯ ⁵¹	eight ten six	8 10 6	Mandarin		p a ⁵⁵ + ʂ ʅ ³⁵ + l j ou̯ ⁵¹
87	Mandarin	eighty seven	bā shí qī	p a ⁵⁵ + ʂ ʅ ³⁵ + tɕʰ i ⁵⁵	eight ten seven	8 10 7	Mandarin		p a ⁵⁵ + ʂ ʅ ³⁵ + tɕʰ i ⁵⁵
88	Mandarin	eighty eight	bā shí bā	p a ⁵⁵ + ʂ ʅ ³⁵ + p a ⁵⁵	eight ten eight	8 10 8	Mandarin		p a ⁵⁵ + ʂ ʅ ³⁵ + p a ⁵⁵
89	Mandarin	eighty nine	bā shí jiǔ	p a ⁵⁵ + ʂ ʅ ³⁵ + tɕ j ou̯ ²¹³	eight ten nine	8 10 9	Mandarin		p a ⁵⁵ + ʂ ʅ ³⁵ + tɕ j ou̯ ²¹³
