ID	DOCULECT	CONCEPT	VALUE	FORM	LOCAL_ID	TOKENS	MORPHEMES	COGIDS	ALIGNMENT	NOTE	SOURCE
55	Latin	fifty five	quinquaginta quinque	kʷiːŋkʷaːɡiːntaː_kʷiːŋkʷɛ		kʷ iː ŋ kʷ -/ɛ + aː + g ɪ n t aː + kʷ iː ŋ kʷ ɛ	five a-epenthesis tens_suff five	3 14 5 3	kʷ iː ŋ kʷ -/ɛ + aː + g ɪ n t aː + kʷ iː ŋ kʷ ɛ	None	Dellert2020;Rubenbauer1995
56	Latin	fifty six	quinquaginta sex	kʷiːŋkʷaːɡiːntaː_sɛks		kʷ iː ŋ kʷ -/ɛ + aː + g ɪ n t aː + s ɛ k s	five a-epenthesis tens_suff six	3 14 5 12	kʷ iː ŋ kʷ -/ɛ + aː + g ɪ n t aː + s ɛ k s	None	Dellert2020;Rubenbauer1995
57	Latin	fifty seven	quinquaginta septem	kʷiːŋkʷaːɡiːntaː_sɛptɛ̃		kʷ iː ŋ kʷ -/ɛ + aː + g ɪ n t aː + s ɛ p t ɛ̃/ɛ -/m	five a-epenthesis tens_suff seven	3 14 5 13	kʷ iː ŋ kʷ -/ɛ + aː + g ɪ n t aː + s ɛ p t ɛ̃/ɛ -/m	None	Dellert2020;Rubenbauer1995
58	Latin	fifty eight	duodesexaginta	dʊodeːsɛksaːɡɪntaː		d ʊ ɔ + d eː + s ɛ k s + aː + g ɪ n t aː	two from six a-epenthesis tens_suff	4 10 12 14 5	d ʊ ɔ + d eː + s ɛ k s + aː + g ɪ n t aː	None	Dellert2020;Rubenbauer1995
59	Latin	fifty nine	undesexaginta	ʊndeːsɛksaːɡɪntaː		ʊ/uː n + d eː + s ɛ k s + aː + g ɪ n t aː	one from six a-epenthesis tens_suff	2 10 12 14 5	ʊ/uː n + d eː + s ɛ k s + aː + g ɪ n t aː	None	Dellert2020;Rubenbauer1995
60	Latin	sixty	sexaginta	sɛksaːɡɪntaː		s ɛ k s + aː + g ɪ n t aː	six a-epenthesis tens_suff	12 14 5	s ɛ k s + aː + g ɪ n t aː	None	Dellert2020
61	Latin	sixty one	sexaginta unus	sɛksaːɡɪntaː_uːnʊs		s ɛ k s + aː + g ɪ n t aː + uː n + ʊ s	six a-epenthesis tens_suff one nom.m.sg_suff	12 14 5 2 11	s ɛ k s + aː + g ɪ n t aː + uː n + ʊ s	None	Dellert2020;Rubenbauer1995
62	Latin	sixty two	sexaginta duo	sɛksaːɡɪntaː_dʊɔ		s ɛ k s + aː + g ɪ n t aː + d ʊ ɔ	six a-epenthesis tens_suff two	12 14 5 4	s ɛ k s + aː + g ɪ n t aː + d ʊ ɔ	None	Dellert2020;Rubenbauer1995
63	Latin	sixty three	sexaginta tres	sɛksaːɡɪntaː_treːs		s ɛ k s + aː + g ɪ n t aː + t r eː s	six a-epenthesis tens_suff three	12 14 5 1	s ɛ k s + aː + g ɪ n t aː + t r eː s	None	Dellert2020;Rubenbauer1995
64	Latin	sixty four	sexaginta quattuor	sɛksaːɡɪntaː_kʷatːʊɔr		s ɛ k s + aː + g ɪ n t aː + kʷ a tː ʊ ɔ r	six a-epenthesis tens_suff four	12 14 5 9	s ɛ k s + aː + g ɪ n t aː + kʷ a tː ʊ ɔ r	None	Dellert2020;Rubenbauer1995
